symbol,chain,total_incentives_diff,bal_incentives_diff,earned_fees_diff,aura_incentives_diff,redirected_incentives_diff,fees_to_vebal_diff
maticX-WMATIC-BPT,polygon,-0.6674999999995634 (-0.0%),-0.6516000000001441 (-0.01%),-2.56670000000031 (-0.04%),-0.015900000002147863 (-0.0%),0.021699999999999164 (0.07%),-0.4478999999992084 (-0.0%)
ECLP-WMATIC-stMATIC,polygon,0.6675000000000182 (0.09%),0.6675000000000182 (0.09%),0.09449999999998226 (0.05%),0.0 (0.0%),0.0015000000000000568 (0.17%),0.432899999999961 (0.09%)
ECLP-GYD-AUSDT,polygon,0.0 (0.0%),0.0 (0.0%),0.002500000000000391 (0.03%),0.0 (0.0%),-0.023200000000002774 (0.07%),0.015100000000000335 (0.07%)
50wstETH-50ACX,mainnet,170.99199999999837 (0.19%),48.48739999999816 (0.18%),-2207.7227999999886 (-1.09%),122.50429999999324 (0.2%),5.616199999999992 (1.44%),107.49430000000575 (0.19%)
wstETH-WETH-BPT,mainnet,-772.1898999999976 (-3.78%),-251.1181999999999 (-4.17%),-2356.5814000000028 (-5.01%),-521.0714000000007 (-3.62%),-2.3382000000000005 (-2.58%),-500.40360000000146 (-3.78%)
ezETH-WETH-BPT,mainnet,142.90200000000004 (1.3%),39.51740000000018 (1.3%),0.0030000000006111804 (0.0%),103.38459999999941 (1.3%),1.2471999999999994 (2.56%),92.07559999999921 (1.29%)
ECLP-stdeUSD-deUSD,mainnet,88.36130000000048 (1.39%),22.192099999999982 (1.42%),12.849500000000262 (0.09%),66.16939999999977 (1.38%),0.7472999999999992 (2.65%),56.94920000000002 (1.38%)
B-rETH-STABLE,mainnet,63.15070000000014 (1.3%),63.150800000000345 (1.3%),-0.0004000000008090865 (-0.0%),0.0 (0.0%),0.5510999999999981 (2.56%),40.6896999999999 (1.29%)
GHO/USDT/USDC,mainnet,47.93640000000005 (1.3%),9.350999999999999 (1.32%),-0.0018000000000029104 (-0.0%),38.585599999999886 (1.29%),0.41829999999999856 (2.56%),30.886799999999766 (1.29%)
weETH/rETH,mainnet,46.20530000000008 (1.3%),8.80110000000002 (1.32%),0.0036000000000058208 (0.0%),37.4041000000002 (1.29%),0.40329999999999977 (2.56%),29.771300000000338 (1.29%)
STG/USDC,mainnet,30.984799999999723 (0.88%),3.9670999999999594 (0.61%),-33.313100000000304 (-0.41%),27.01800000000003 (0.94%),0.33259999999999934 (2.14%),19.92390000000023 (0.88%)
sUSDe/USDC,mainnet,41.98129999999992 (1.3%),7.459299999999985 (1.33%),-0.0030999999999039574 (-0.0%),34.52189999999973 (1.29%),0.3664000000000005 (2.56%),27.049600000000282 (1.29%)
20WETH-80ALCX,mainnet,28.16840000000002 (1.25%),3.0715999999999894 (1.22%),-2.4687000000003536 (-0.05%),25.09699999999998 (1.25%),0.2505000000000006 (2.51%),18.146600000000035 (1.24%)
wstETH-rETH-sfrxETH-BPT,mainnet,28.80289999999968 (1.3%),3.272999999999996 (1.36%),0.0010999999994965037 (0.0%),25.529899999999998 (1.29%),0.2513000000000005 (2.56%),18.558500000000095 (1.29%)
pufETH/wstETH,mainnet,21.766399999999976 (1.3%),0.0 (0.0%),-0.003899999999703141 (-0.0%),21.766599999999926 (1.3%),0.18989999999999974 (2.56%),14.024700000000166 (1.29%)
weETH/ezETH/rswETH,mainnet,20.744300000000067 (1.3%),0.0 (0.0%),-0.003800000000410364 (-0.0%),20.74420000000009 (1.3%),0.18109999999999982 (2.56%),13.365999999999985 (1.29%)
sDAI/3Pool,mainnet,10.18369999999993 (1.3%),10.183599999999956 (1.3%),-0.003200000000106229 (-0.0%),0.0 (0.0%),0.0889000000000002 (2.56%),6.56170000000003 (1.29%)
ETHx/wstETH,mainnet,8.728600000000029 (1.3%),8.728900000000067 (1.3%),0.0012000000001535227 (0.0%),0.0 (0.0%),0.07599999999999962 (2.55%),5.62420000000003 (1.29%)
80RDNT-20wETH,mainnet,6.040900000000079 (0.9%),6.040900000000079 (0.9%),-6.103399999999965 (-0.39%),0.0 (0.0%),0.06420000000000003 (2.16%),3.884899999999959 (0.89%)
cdcETH/wstETH,mainnet,7.679200000000037 (1.3%),7.679100000000062 (1.3%),-0.0009000000000014552 (-0.0%),0.0 (0.0%),0.06709999999999994 (2.56%),4.947900000000004 (1.29%)
ankrETH/wstETH,mainnet,7.561399999999935 (1.3%),7.56149999999991 (1.3%),-0.0005000000001018634 (-0.0%),0.0 (0.0%),0.06599999999999984 (2.56%),4.871999999999957 (1.29%)
tETH/wstETH,mainnet,0.0 (0.0%),0.0 (0.0%),-0.0030000000000427463 (-0.0%),0.0 (0.0%),-3.1129999999999995 (1.29%),2.0235000000000127 (1.29%)
trenSTETH,mainnet,0.0 (0.0%),0.0 (0.0%),-0.003199999999992542 (-0.0%),0.0 (0.0%),-2.4964999999999975 (1.29%),1.622700000000009 (1.29%)
50rETH-50RPL,mainnet,0.0 (0.0%),0.0 (0.0%),-0.744700000000023 (-0.25%),0.0 (0.0%),-1.3156000000000034 (1.04%),0.8550999999999931 (1.04%)
ECLP-GYD-sDAI,mainnet,0.0 (0.0%),0.0 (0.0%),0.013700000000000045 (0.02%),0.0 (0.0%),-0.4777000000000058 (1.31%),0.31049999999999756 (1.31%)
