chain,symbol,total_incentives_diff,bal_incentives_diff,earned_fees_diff,aura_incentives_diff,redirected_incentives_diff,fees_to_vebal_diff
polygon,maticX-WMATIC-BPT,-0.00010000000111176632 (-0.0%),0.005599999999958527 (0.0%),0.0029999999997016857 (0.0%),-0.00559999999950378 (-0.0%),0.08119999999996708 (0.02%),-0.052800000000388536 (-0.0%)
polygon,ECLP-WMATIC-stMATIC,0.0 (0.0%),0.0 (0.0%),0.017200000000002547 (0.01%),0.0 (0.0%),-0.04550000000000409 (0.01%),0.02949999999998454 (0.01%)
polygon,ECLP-GYD-AUSDT,0.0 (0.0%),0.0 (0.0%),0.012599999999999056 (0.06%),0.0 (0.0%),-0.035799999999994725 (0.06%),0.023300000000006094 (0.06%)
mainnet,wstETH-WETH-BPT,132.20180000000255 (0.39%),65.13940000000002 (0.65%),-0.0022000000026309863 (-0.0%),67.06259999999747 (0.28%),1.4376999999999782 (0.71%),84.99669999999969 (0.38%)
mainnet,STG/USDC,15.623100000000704 (0.05%),27.908300000000963 (0.32%),-70.19639999999708 (-0.33%),-12.285299999999552 (-0.06%),0.6690000000000111 (0.38%),9.720100000002276 (0.05%)
mainnet,50wstETH-50ACX,65.10889999999927 (0.29%),43.70690000000013 (0.7%),-14.846000000001368 (-0.09%),21.402000000000044 (0.13%),0.8136000000000081 (0.62%),41.791800000000876 (0.29%)
mainnet,ezETH-WETH-BPT,77.9500999999982 (0.39%),47.806399999999485 (0.87%),0.00019999999858555384 (0.0%),30.143699999998717 (0.21%),0.8477000000000032 (0.71%),50.11650000000009 (0.38%)
mainnet,B-rETH-STABLE,72.75020000000222 (0.39%),72.75010000000111 (0.39%),0.0031999999991967343 (0.0%),0.0 (0.0%),0.7912000000000035 (0.71%),46.77340000000004 (0.38%)
mainnet,ECLP-stdeUSD-deUSD,74.73149999999987 (0.56%),46.774799999999686 (1.41%),16.28859999999986 (0.18%),27.957099999999627 (0.28%),0.6968000000000103 (0.89%),48.12259999999878 (0.56%)
mainnet,weETH/rETH,28.011599999999817 (0.39%),31.851499999999987 (2.3%),-0.0039999999999054126 (-0.0%),-3.8398999999999432 (-0.07%),0.30469999999999686 (0.71%),18.009500000000116 (0.38%)
mainnet,sUSDe/USDC,27.03560000000016 (0.39%),31.539800000000014 (2.42%),-0.0024999999995998223 (-0.0%),-4.504300000000512 (-0.08%),0.29410000000000025 (0.71%),17.381999999999607 (0.38%)
mainnet,wstETH-rETH-sfrxETH-BPT,26.957800000000134 (0.39%),31.514799999999923 (2.43%),-0.0010000000002037268 (-0.0%),-4.557099999999991 (-0.08%),0.2931000000000026 (0.71%),17.332000000000335 (0.38%)
mainnet,GHO/USDT/USDC,24.333200000000033 (0.39%),30.676299999999856 (2.85%),0.004500000000007276 (0.0%),-6.343300000000454 (-0.12%),0.2646000000000015 (0.71%),15.644600000000082 (0.38%)
mainnet,pufETH/wstETH,21.42109999999957 (0.39%),29.74599999999998 (3.55%),-0.003499999999803549 (-0.0%),-8.324899999999616 (-0.18%),0.2331000000000003 (0.71%),13.772199999999884 (0.38%)
mainnet,weETH/ezETH/rswETH,14.588000000000193 (0.39%),27.562999999999988 (10.13%),0.003400000000056025 (0.0%),-12.974900000000162 (-0.37%),0.15859999999999985 (0.71%),9.379100000000108 (0.38%)
mainnet,20WETH-80ALCX,8.228299999999763 (0.35%),0.0 (0.0%),-0.5738999999998668 (-0.04%),8.228500000000167 (0.35%),0.09360000000000035 (0.68%),5.287499999999909 (0.35%)
mainnet,eBTC/wBTC,8.400499999999738 (0.39%),0.0 (0.0%),0.004899999999906868 (0.0%),8.400499999999738 (0.39%),0.09140000000000015 (0.71%),5.4008000000001175 (0.38%)
mainnet,ETHx/wstETH,5.158400000000029 (0.39%),0.0 (0.0%),-0.0005999999999630745 (-0.0%),5.158300000000054 (0.39%),0.05609999999999982 (0.71%),3.316500000000019 (0.38%)
mainnet,ankrETH/wstETH,4.829500000000053 (0.39%),0.0 (0.0%),0.004699999999957072 (0.0%),4.829600000000028 (0.39%),0.052400000000000446 (0.71%),3.105199999999968 (0.38%)
mainnet,qETH/WETH,3.7568999999999733 (0.39%),0.0 (0.0%),-0.0039999999999054126 (-0.0%),3.7568999999999733 (0.39%),0.0409000000000006 (0.71%),2.415399999999977 (0.38%)
