,chain,symbol,earned_fees,fees_to_vebal,fees_to_dao,total_incentives,aura_incentives,bal_incentives,redirected_incentives,reroute_incentives,last_join_exit
0xcd78a20c597e367a4e478a2411ceb790604d7c8f000000000000000000000c22,polygon,maticX-WMATIC-BPT,2352.99,3367.7329,1813.3946,5422.3273,3648.4817,1773.8456,241.1998,0,2024-11-11 02:00:32+00:00
0xf0ad209e2e969eaaa8c882aac71f02d8a047d5c2000200000000000000000b49,polygon,ECLP-WMATIC-stMATIC,109.54,156.7799,84.4199,0,0,0,-241.1998,0,2024-11-10 21:49:28+00:00
0x596192bb6e41802428ac943d2f1476c1af25cc0e000000000000000000000659,mainnet,ezETH-WETH-BPT,21050.59,14837.6383,7989.4976,23066.6489,15930.2970,7136.3517,239.5130,0,2024-11-10 23:57:23+00:00
0x93d199263632a4ef4bb438f1feb99e57b4b5f0bd0000000000000000000005c2,mainnet,wstETH-WETH-BPT,14535.74,10245.6061,5516.8648,15927.8581,11126.8711,4800.9870,165.3872,0,2024-11-08 21:07:23+00:00
0x1e19cf2d73a72ef1332c882f20534b6519be0276000200000000000000000112,mainnet,B-rETH-STABLE,8462.60,5964.9159,3211.8778,9273.0807,0,9273.0807,96.2871,0,2024-11-07 05:25:11+00:00
0x36be1e97ea98ab43b4debf92742517266f5731a3000200000000000000000466,mainnet,50wstETH-50ACX,7331.79,5167.8574,2782.6925,8033.9708,5815.3689,2218.6018,83.4209,0,2024-11-09 03:59:35+00:00
0x848a5564158d84b8a8fb68ab5d004fae11619a5400000000000000000000066a,mainnet,weETH/ezETH/rswETH,6858.18,4834.0305,2602.9395,7515.0022,5466.1743,2048.8279,78.0322,0,2024-11-10 02:15:11+00:00
0x8353157092ed8be69a9df8f95af097bbf33cb2af0000000000000000000005d9,mainnet,GHO/USDT/USDC,6828.42,4813.0540,2591.6445,7482.3919,5444.2322,2038.1599,77.6934,0,2024-11-11 04:00:59+00:00
0x05ff47afada98a98982113758878f9a8b9fdda0a000000000000000000000645,mainnet,weETH/rETH,5178.08,3649.8017,1965.2778,5673.9955,4227.4297,1446.5659,58.9160,0,2024-11-10 12:31:35+00:00
0xf16aee6a71af1a9bc8f56975a4c2705ca7a782bc0002000000000000000004bb,mainnet,20WETH-80ALCX,4276.92,3014.6135,1623.2534,4686.5295,3563.0006,1123.5290,48.6626,0,2024-11-04 10:05:59+00:00
0x63e0d47a6964ad1565345da9bfa66659f4983f02000000000000000000000681,mainnet,pufETH/wstETH,3549.73,2502.0491,1347.2572,3889.6950,3026.8403,862.8547,40.3887,0,2024-11-10 02:36:59+00:00
0x42ed016f826165c2e5976fe5bc3df540c5ad0af700000000000000000000058b,mainnet,wstETH-rETH-sfrxETH-BPT,2998.65,2113.6170,1138.1014,3285.8369,2620.5267,665.3101,34.1185,0,2024-10-13 17:10:23+00:00
0x9f9d900462492d4c21e9523ca95a7cd86142f298000200000000000000000462,mainnet,50rETH-50RPL,2504.68,1765.4392,950.6211,2744.5584,2256.3205,488.2378,28.4982,0,2024-11-03 23:38:11+00:00
0xb819feef8f0fcdc268afe14162983a69f6bf179e000000000000000000000689,mainnet,sUSDe/USDC,2277.16,1605.0703,864.2686,2495.2483,2088.5692,406.6791,25.9094,0,2024-11-09 15:21:11+00:00
0x3ff3a210e57cfe679d9ad1e9ba6453a716c56a2e0002000000000000000005d5,mainnet,STG/USDC,1920.34,1353.5635,728.8419,2104.2550,1825.4843,278.7706,21.8496,0,2024-11-04 10:04:59+00:00
0xb91159aa527d4769cb9faf3e4adb760c7e8c8ea700000000000000000000067c,mainnet,ETHx/wstETH,1836.27,1294.3062,696.9341,2012.1334,1763.4993,248.6342,20.8930,0,2024-11-09 08:31:35+00:00
0xdfe6e7e18f6cc65fa13c8d8966013d4fda74b6ba000000000000000000000558,mainnet,ankrETH/wstETH,1257.61,886.4342,477.3107,1378.0539,1336.8508,41.2032,14.3090,0,2024-11-10 13:34:47+00:00
0xcf7b51ce5755513d4be016b0e28d6edeffa1d52a000200000000000000000617,mainnet,RDNT-WETH,1113.65,784.9631,422.6724,1220.3066,1220.3067,0.0000,12.6711,0,2024-11-10 08:52:35+00:00
0x7761b6e0daa04e70637d81f1da7d186c205c2ade00000000000000000000065d,mainnet,rsETH / ETHx,1026.02,723.1965,389.4135,1124.2840,1124.2841,0.0000,11.6740,0,2024-10-26 03:31:11+00:00
0x40c806394d03d350420d13cd7d1de1c806f349560000000000000000000005f5,mainnet,qETH/WETH,971.55,684.8030,368.7401,1064.5974,1064.5974,0.0000,11.0543,0,2024-10-12 07:25:47+00:00
0x4216d5900a6109bba48418b5e2ab6cc4e61cf4770000000000000000000006a1,mainnet,trenSTETH,963.47,679.1078,365.6734,1055.7436,1055.7435,0.0000,10.9624,0,2024-10-28 22:44:59+00:00
0x49cbd67651fbabce12d1df18499896ec87bef46f00000000000000000000064a,mainnet,sDAI/3Pool,539.49,380.2629,204.7569,591.1582,0,591.1581,6.1384,0,2024-11-05 06:39:23+00:00
